product_number;cover_image;variant_image;gallery_images
010177;https://images.nwgmedia.com/preview/76475/010177_55_Sanders_F.jpg;;https://images.nwgmedia.com/preview/243610/010177_010179_IM_CLIQUE_2021.jpg
0200905;https://images.nwgmedia.com/preview/292269/0200905-99_IdahoJunior_Black_front.jpg;;https://images.nwgmedia.com/preview/389277/0200905_IdahoJunior_ss25.jpg
0200906;https://images.nwgmedia.com/preview/334077/0200906-580_PaddedSoftshellJunior_DarkNavy_front.jpg;;https://images.nwgmedia.com/preview/337930/0200906_PaddedHoodySoftshellJunior_ss24_v2.jpg|https://images.nwgmedia.com/preview/700597/0200906_PaddedHoodySoftshellJunior_ss24.jpg
0200909;https://images.nwgmedia.com/preview/290932/0200909-580_ClassicSoftshellJacketJunior_DarkNavy_front.jpg;;https://images.nwgmedia.com/preview/290920/0200909-35_ClassicSoftshellJacketJunior_Red_front.jpg|https://images.nwgmedia.com/preview/389263/0200909_ClassicSoftshellJacketJunior_ss25_v3.jpg|https://images.nwgmedia.com/preview/389270/0200909_ClassicSoftshellJacketJunior_ss25.jpg
0200910;https://images.nwgmedia.com/preview/290948/0200910-35_ClassicSoftshellJacket_Red_front.jpg;;https://images.nwgmedia.com/preview/290936/0200910-00_ClassicSoftshellJacket_White_front.jpg|https://images.nwgmedia.com/preview/297333/0200910_0200915_classicsoftshelljacket_v2_aw22ss23.jpg
0200910P;https://images.nwgmedia.com/preview/389374/0200910P%20(4).jpg;;https://images.nwgmedia.com/preview/389375/0200910P%20(2).jpg|https://images.nwgmedia.com/preview/389376/0200910P.jpg|https://images.nwgmedia.com/preview/389377/0200910P%20(3).jpg|https://images.nwgmedia.com/preview/389378/0200910P%20(1).jpg
0200911;https://images.nwgmedia.com/preview/291004/0200911-945_ClassicSoftshellVest_DarkGrey_front.jpg;;https://images.nwgmedia.com/preview/290972/0200911-00_ClassicSoftshellVest_White_front.jpg|https://images.nwgmedia.com/preview/297334/0200911_0200916_classicsoftshellvest_v2_aw22ss23..jpg|https://images.nwgmedia.com/preview/297335/0200911_Classicsoftshellvest_aw22ss23.jpg|https://images.nwgmedia.com/preview/389158/0200911_0200915_ClassicSoftshellVest_ClassicSoftshellJacket_ss25_v4.jpg|https://images.nwgmedia.com/preview/389159/0200911_0200915_ClassicSoftshellVest_ClassicSoftshellJacket_ss25.jpg
0200912;https://images.nwgmedia.com/preview/291008/0200912-99_ClassicSoftshellHoody_Black_front.jpg;;https://images.nwgmedia.com/preview/297336/0200912_0200917_classicsoftshellhoody_v2_aw22ss23.jpg|https://images.nwgmedia.com/preview/337863/0200912_0200915_ClassicSoftshellHoody_ClassicSoftshellJacketWomen_ss24_v4.jpg
0200913;;;
0200915;https://images.nwgmedia.com/preview/291028/0200915-55_ClassicSoftshellJktLady_RoyalBlue_front.jpg;;https://images.nwgmedia.com/preview/291012/0200915-00_ClassicSoftshellJktLady_White_front.jpg|https://images.nwgmedia.com/preview/389158/0200911_0200915_ClassicSoftshellVest_ClassicSoftshellJacket_ss25_v4.jpg|https://images.nwgmedia.com/preview/389159/0200911_0200915_ClassicSoftshellVest_ClassicSoftshellJacket_ss25.jpg
